faculty_id,course_id,section_id
F294,C004,S70
F295,C005,S70
F296,C006,S70
F297,C007,S70
F298,C008,S70
F299,C009,S70
F300,C010,S70
F301,C001,S71
F302,C002,S71
F303,C003,S71
F304,C004,S71
F305,C005,S71
F306,C006,S71
F307,C007,S71
F308,C008,S71
F309,C009,S71
F310,C010,S71
F311,C001,S72
F312,C002,S72
F313,C003,S72
F314,C004,S72
F315,C005,S72
F316,C006,S72
F317,C007,S72
F318,C008,S72
F319,C009,S72
F320,C010,S72
F321,C001,S73
F322,C002,S73
F323,C003,S73
F324,C004,S73
F325,C005,S73
F326,C006,S73
F327,C007,S73
F328,C008,S73
F329,C009,S73
F330,C010,S73
F331,C001,S74
F332,C002,S74
F333,C003,S74
F334,C004,S74
F335,C005,S74
F336,C006,S74
F337,C007,S74
F338,C008,S74
F339,C009,S74
F340,C010,S74
F341,C001,S75
F342,C002,S75
F343,C003,S75
F344,C004,S75
F345,C005,S75
F346,C006,S75
F347,C007,S75
F348,C008,S75
F349,C009,S75
F350,C010,S75
F351,C001,S76
F352,C002,S76
F353,C003,S76
F354,C004,S76
F355,C005,S76
F356,C006,S76
F357,C007,S76
F358,C008,S76
F359,C009,S76
F360,C010,S76
F361,C001,S77
F362,C002,S77
F363,C003,S77
F364,C004,S77
F365,C005,S77
F366,C006,S77
F367,C007,S77
F368,C008,S77
F369,C009,S77
F370,C010,S77
F371,C001,S78
F372,C002,S78
F373,C003,S78
F374,C004,S78
F375,C005,S78
F376,C006,S78
F377,C007,S78
F378,C008,S78
F379,C009,S78
F380,C010,S78
F381,C001,S79
F382,C002,S79
F383,C003,S79
F384,C004,S79
F385,C005,S79
F386,C006,S79
F387,C007,S79
F388,C008,S79
F389,C009,S79
F390,C010,S79
F391,C001,S80
F392,C002,S80
F393,C003,S80
F394,C004,S80
F395,C005,S80
F396,C006,S80
F397,C007,S80
F398,C008,S80
F399,C009,S80
F400,C010,S80
F1,C001,S81
F2,C002,S81
F3,C003,S81
F4,C004,S81
F5,C005,S81
F6,C006,S81
F7,C007,S81
F8,C008,S81
F9,C009,S81
F10,C010,S81
F11,C001,S82
F12,C002,S82
F13,C003,S82
F14,C004,S82
F15,C005,S82
F16,C006,S82
F17,C007,S82
F18,C008,S82
F19,C009,S82
F20,C010,S82
F21,C001,S83
F22,C002,S83
F23,C003,S83
F24,C004,S83
F25,C005,S83
F26,C006,S83
F27,C007,S83
F28,C008,S83
F29,C009,S83
F30,C010,S83
F31,C001,S84
F32,C002,S84
F33,C003,S84
F34,C004,S84
F35,C005,S84
F36,C006,S84
F37,C007,S84
F38,C008,S84
F39,C009,S84
F40,C010,S84
