section_id,course_id,weekly_lectures,weekly_lab_sessions,lab_block_size
S50,C009,0,1,3
S50,C010,0,1,2
S51,C001,3,0,
S51,C002,2,0,
S51,C003,4,0,
S51,C004,3,0,
S51,C005,2,0,
S51,C006,4,0,
S51,C007,3,0,
S51,C008,0,1,2
S51,C009,0,1,3
S51,C010,0,1,2
S52,C001,3,0,
S52,C002,2,0,
S52,C003,4,0,
S52,C004,3,0,
S52,C005,2,0,
S52,C006,4,0,
S52,C007,3,0,
S52,C008,0,1,2
S52,C009,0,1,3
S52,C010,0,1,2
S53,C001,3,0,
S53,C002,2,0,
S53,C003,4,0,
S53,C004,3,0,
S53,C005,2,0,
S53,C006,4,0,
S53,C007,3,0,
S53,C008,0,1,2
S53,C009,0,1,3
S53,C010,0,1,2
S54,C001,3,0,
S54,C002,2,0,
S54,C003,4,0,
S54,C004,3,0,
S54,C005,2,0,
S54,C006,4,0,
S54,C007,3,0,
S54,C008,0,1,2
S54,C009,0,1,3
S54,C010,0,1,2
S55,C001,3,0,
S55,C002,2,0,
S55,C003,4,0,
S55,C004,3,0,
S55,C005,2,0,
S55,C006,4,0,
S55,C007,3,0,
S55,C008,0,1,2
S55,C009,0,1,3
S55,C010,0,1,2
S56,C001,3,0,
S56,C002,2,0,
S56,C003,4,0,
S56,C004,3,0,
S56,C005,2,0,
S56,C006,4,0,
S56,C007,3,0,
S56,C008,0,1,2
S56,C009,0,1,3
S56,C010,0,1,2
S57,C001,3,0,
S57,C002,2,0,
S57,C003,4,0,
S57,C004,3,0,
S57,C005,2,0,
S57,C006,4,0,
S57,C007,3,0,
S57,C008,0,1,2
S57,C009,0,1,3
S57,C010,0,1,2
S58,C001,3,0,
S58,C002,2,0,
S58,C003,4,0,
S58,C004,3,0,
S58,C005,2,0,
S58,C006,4,0,
S58,C007,3,0,
S58,C008,0,1,2
S58,C009,0,1,3
S58,C010,0,1,2
S59,C001,3,0,
S59,C002,2,0,
S59,C003,4,0,
S59,C004,3,0,
S59,C005,2,0,
S59,C006,4,0,
S59,C007,3,0,
S59,C008,0,1,2
S59,C009,0,1,3
S59,C010,0,1,2
S60,C001,3,0,
S60,C002,2,0,
S60,C003,4,0,
S60,C004,3,0,
S60,C005,2,0,
S60,C006,4,0,
S60,C007,3,0,
S60,C008,0,1,2
S60,C009,0,1,3
S60,C010,0,1,2
S61,C001,3,0,
S61,C002,2,0,
S61,C003,4,0,
S61,C004,3,0,
S61,C005,2,0,
S61,C006,4,0,
S61,C007,3,0,
S61,C008,0,1,2
S61,C009,0,1,3
S61,C010,0,1,2
S62,C001,3,0,
S62,C002,2,0,
S62,C003,4,0,
S62,C004,3,0,
S62,C005,2,0,
S62,C006,4,0,
S62,C007,3,0,
S62,C008,0,1,2
S62,C009,0,1,3
S62,C010,0,1,2
S63,C001,3,0,
S63,C002,2,0,
S63,C003,4,0,
S63,C004,3,0,
S63,C005,2,0,
S63,C006,4,0,
S63,C007,3,0,
S63,C008,0,1,2
S63,C009,0,1,3
S63,C010,0,1,2
S64,C001,3,0,
S64,C002,2,0,
S64,C003,4,0,
S64,C004,3,0,
S64,C005,2,0,
S64,C006,4,0,
S64,C007,3,0,
S64,C008,0,1,2
S64,C009,0,1,3
S64,C010,0,1,2
S65,C001,3,0,
S65,C002,2,0,
S65,C003,4,0,
S65,C004,3,0,
S65,C005,2,0,
S65,C006,4,0,
S65,C007,3,0,
S65,C008,0,1,2
S65,C009,0,1,3
S65,C010,0,1,2
S66,C001,3,0,
S66,C002,2,0,
S66,C003,4,0,
S66,C004,3,0,
S66,C005,2,0,
S66,C006,4,0,
S66,C007,3,0,
S66,C008,0,1,2
S66,C009,0,1,3
S66,C010,0,1,2
S67,C001,3,0,
S67,C002,2,0,
S67,C003,4,0,
S67,C004,3,0,
S67,C005,2,0,
S67,C006,4,0,
S67,C007,3,0,
S67,C008,0,1,2
S67,C009,0,1,3
S67,C010,0,1,2
S68,C001,3,0,
S68,C002,2,0,
S68,C003,4,0,
S68,C004,3,0,
S68,C005,2,0,
S68,C006,4,0,
S68,C007,3,0,
S68,C008,0,1,2
S68,C009,0,1,3
S68,C010,0,1,2
S69,C001,3,0,
S69,C002,2,0,
S69,C003,4,0,
S69,C004,3,0,
S69,C005,2,0,
S69,C006,4,0,
S69,C007,3,0,
S69,C008,0,1,2
S69,C009,0,1,3
S69,C010,0,1,2
S70,C001,3,0,
S70,C002,2,0,
S70,C003,4,0,
S70,C004,3,0,
S70,C005,2,0,
S70,C006,4,0,
S70,C007,3,0,
S70,C008,0,1,2
S70,C009,0,1,3
S70,C010,0,1,2
S71,C001,3,0,
S71,C002,2,0,
S71,C003,4,0,
S71,C004,3,0,
S71,C005,2,0,
S71,C006,4,0,
S71,C007,3,0,
S71,C008,0,1,2
S71,C009,0,1,3
S71,C010,0,1,2
S72,C001,3,0,
S72,C002,2,0,
S72,C003,4,0,
S72,C004,3,0,
S72,C005,2,0,
S72,C006,4,0,
S72,C007,3,0,
S72,C008,0,1,2
S72,C009,0,1,3
S72,C010,0,1,2
S73,C001,3,0,
S73,C002,2,0,
S73,C003,4,0,
S73,C004,3,0,
S73,C005,2,0,
S73,C006,4,0,
S73,C007,3,0,
S73,C008,0,1,2
S73,C009,0,1,3
S73,C010,0,1,2
S74,C001,3,0,
S74,C002,2,0,
S74,C003,4,0,
S74,C004,3,0,
S74,C005,2,0,
S74,C006,4,0,
S74,C007,3,0,
S74,C008,0,1,2
S74,C009,0,1,3
S74,C010,0,1,2
S75,C001,3,0,
S75,C002,2,0,
S75,C003,4,0,
S75,C004,3,0,
S75,C005,2,0,
S75,C006,4,0,
S75,C007,3,0,
S75,C008,0,1,2
S75,C009,0,1,3
S75,C010,0,1,2
S76,C001,3,0,
S76,C002,2,0,
S76,C003,4,0,
S76,C004,3,0,
S76,C005,2,0,
S76,C006,4,0,
S76,C007,3,0,
S76,C008,0,1,2
S76,C009,0,1,3
S76,C010,0,1,2
S77,C001,3,0,
S77,C002,2,0,
S77,C003,4,0,
S77,C004,3,0,
S77,C005,2,0,
S77,C006,4,0,
S77,C007,3,0,
S77,C008,0,1,2
S77,C009,0,1,3
S77,C010,0,1,2
S78,C001,3,0,
S78,C002,2,0,
S78,C003,4,0,
S78,C004,3,0,
S78,C005,2,0,
S78,C006,4,0,
S78,C007,3,0,
S78,C008,0,1,2
S78,C009,0,1,3
S78,C010,0,1,2
S79,C001,3,0,
S79,C002,2,0,
S79,C003,4,0,
S79,C004,3,0,
S79,C005,2,0,
S79,C006,4,0,
S79,C007,3,0,
S79,C008,0,1,2
S79,C009,0,1,3
S79,C010,0,1,2
S80,C001,3,0,
S80,C002,2,0,
S80,C003,4,0,
S80,C004,3,0,
S80,C005,2,0,
S80,C006,4,0,
S80,C007,3,0,
S80,C008,0,1,2
S80,C009,0,1,3
S80,C010,0,1,2
S81,C001,3,0,
S81,C002,2,0,
S81,C003,4,0,
S81,C004,3,0,
S81,C005,2,0,
S81,C006,4,0,
S81,C007,3,0,
S81,C008,0,1,2
S81,C009,0,1,3
S81,C010,0,1,2
S82,C001,3,0,
S82,C002,2,0,
S82,C003,4,0,
S82,C004,3,0,
S82,C005,2,0,
S82,C006,4,0,
S82,C007,3,0,
S82,C008,0,1,2
S82,C009,0,1,3
S82,C010,0,1,2
S83,C001,3,0,
S83,C002,2,0,
S83,C003,4,0,
S83,C004,3,0,
S83,C005,2,0,
S83,C006,4,0,
S83,C007,3,0,
S83,C008,0,1,2
S83,C009,0,1,3
S83,C010,0,1,2
S84,C001,3,0,
S84,C002,2,0,
S84,C003,4,0,
S84,C004,3,0,
S84,C005,2,0,
S84,C006,4,0,
S84,C007,3,0,
S84,C008,0,1,2
S84,C009,0,1,3
S84,C010,0,1,2
